	LN	LN	LN	LN	LN	NL	NL	NL	NL	NL	NN	NN	NN	NN	NN
mmu-miR-193a-5p MIMAT0004544	22	22	19	25	11	14	19	14	12	13	38	30	17	34	38
mmu-miR-3068-3p MIMAT0014843	15	15	11	6	12	2	1	9	4	3	20	11	27	28	26
mmu-miR-8114 MIMAT0031420	0	0	0	2	0	0	0	0	0	0	0	1	0	0	1
mmu-miR-7012-5p MIMAT0027928	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
mmu-miR-363-5p MIMAT0017076	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
mmu-miR-411-3p MIMAT0001093	261	393	295	133	288	87	133	354	243	216	596	208	594	599	664
mmu-miR-466a-3p MIMAT0002107_>mmu-miR-466e-3p MIMAT0004880	1	1	3	1	5	0	1	0	1	0	4	0	3	1	5
mmu-miR-3473d MIMAT0020632	0	0	0	0	0	0	0	0	0	0	2	0	1	0	0
mmu-miR-6996-3p MIMAT0027895	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
mmu-miR-450a-1-3p MIMAT0017182	7	6	10	5	2	2	1	3	0	3	18	1	11	8	17
mmu-miR-124-3p MIMAT0000134	0	0	1	0	0	0	0	0	0	0	0	0	0	2	1
mmu-miR-466g MIMAT0004883	0	3	0	0	1	0	1	0	1	0	0	0	0	1	2
mmu-miR-1191a MIMAT0005849	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0
mmu-miR-3070-5p MIMAT0014846	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0
mmu-miR-297a-5p MIMAT0000375	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2
mmu-miR-3109-3p MIMAT0014950	1	0	0	2	0	0	0	0	0	0	0	0	1	0	0
mmu-miR-470-5p MIMAT0002111	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0
mmu-miR-598-3p MIMAT0004942	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0
mmu-miR-3059-5p MIMAT0014811	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
mmu-miR-433-3p MIMAT0001420	26	16	7	13	7	21	17	35	38	53	29	19	15	13	20
mmu-miR-5100 MIMAT0020607	0	0	2	0	1	0	0	0	0	2	0	0	0	0	0
mmu-miR-1298-5p MIMAT0014809	0	0	0	0	0	0	2	0	0	1	0	0	0	0	0
mmu-miR-7679-3p MIMAT0029873	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0
mmu-miR-433-5p MIMAT0001419	0	0	2	0	0	1	0	0	0	1	0	0	1	2	0
mmu-miR-490-5p MIMAT0017261	0	0	0	1	0	0	0	0	0	0	0	0	1	2	0
mmu-miR-670-3p MIMAT0017242	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1
mmu-miR-338-5p MIMAT0004647	61	43	47	42	71	25	76	67	68	56	102	57	140	73	227
mmu-miR-7235-3p MIMAT0028439	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
mmu-miR-1970c-3p MIMAT0049877	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
mmu-miR-194-2-3p MIMAT0017073	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
mmu-miR-532-3p MIMAT0004781	97	78	58	49	92	12	18	45	13	20	111	47	96	114	116
mmu-miR-375-3p MIMAT0000739	0	0	0	0	0	0	1	1	0	0	1	0	0	0	1
mmu-miR-7054-5p MIMAT0028012	0	1	0	0	0	1	0	0	0	0	0	0	0	1	0
mmu-miR-1191b-5p MIMAT0029866	5	2	4	6	2	1	2	3	1	0	9	4	2	4	4
mmu-miR-181a-5p MIMAT0000210	3205	4495	3235	3383	4262	1100	1168	2456	1566	1284	5479	2373	5018	4677	6063
