	LN	LN	LN	LN	LN	NL	NL	NL	NL	NL	NN	NN	NN	NN	NN
mmu-mir-8120 MI0026052	0	0	0	0	0	1	1	2	0	0	0	0	0	0	1
mmu-mir-301a MI0000401	10	16	17	20	15	3	3	13	5	3	27	11	22	19	32
mmu-mir-7082 MI0022932	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0
mmu-mir-1955 MI0009950	3	2	1	0	1	0	0	0	1	0	4	1	1	2	2
mmu-mir-6380 MI0021911	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
mmu-mir-666 MI0004553	397	250	143	109	221	702	528	713	788	953	312	407	189	171	254
mmu-mir-149 MI0000171	426	402	346	246	398	207	236	327	201	196	563	326	435	623	368
mmu-mir-7656 MI0024996	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0
mmu-mir-218-1 MI0000700	145	141	91	114	195	40	60	116	100	66	309	135	250	210	381
mmu-mir-365-1 MI0000768	75	170	181	129	205	24	28	51	21	29	239	94	265	217	342
mmu-mir-18a MI0000567	2	16	8	14	16	0	0	4	2	2	9	2	9	15	19
mmu-mir-3100 MI0014092	2	0	2	1	0	0	0	5	1	2	3	0	1	3	1
mmu-mir-7094-1 MI0022944	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
mmu-mir-1970 MI0009968	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
mmu-mir-546 MI0003517	0	0	0	4	4	0	7	1	2	6	0	1	1	2	0
mmu-mir-684-1 MI0004647	1	3	5	10	5	4	4	5	2	3	0	5	3	1	0
mmu-mir-491 MI0004680	2	3	3	0	1	1	0	2	1	1	2	0	2	1	4
mmu-mir-378d MI0021951	11571	7581	6192	5219	5924	2559	2035	6666	2560	2982	9339	7619	8389	7480	8067
mmu-mir-130a MI0000156	12	21	11	14	27	2	3	13	3	5	24	17	20	20	16
mmu-mir-5616 MI0019184	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
mmu-mir-574 MI0005518	25	26	21	36	37	4	12	15	7	7	46	19	45	46	49
mmu-mir-218-2 MI0000701	168	160	109	128	210	56	79	145	134	98	334	168	267	233	419
mmu-mir-8103 MI0026033	0	0	0	1	0	1	0	0	1	1	0	2	0	0	0
mmu-mir-5100 MI0018008	1	2	3	0	1	0	1	1	0	3	1	0	0	0	0
mmu-mir-12181 MI0040619	0	0	0	0	0	2	0	0	0	0	1	0	0	0	0
mmu-mir-877 MI0005553	13	3	10	3	4	20	22	20	8	10	9	8	4	7	7
mmu-mir-7655 MI0024995	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
mmu-mir-195a MI0000237	311	543	366	394	387	110	85	157	91	70	745	262	487	620	599
mmu-mir-6938 MI0022785	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
mmu-mir-7017 MI0022866	0	0	1	0	0	0	1	0	2	0	0	3	0	0	0
mmu-mir-302d MI0003718	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
mmu-mir-6900 MI0022747	0	1	1	0	0	0	2	0	2	0	0	0	0	0	0
mmu-mir-6975 MI0022823	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
mmu-mir-3077 MI0014040	0	1	0	0	0	0	0	0	0	1	2	0	0	0	0
mmu-mir-5621 MI0019189	2	1	1	3	1	0	0	0	1	0	2	1	0	3	2
mmu-let-7k MI0022352	4	1	0	0	1	1	1	1	1	3	2	4	2	1	1
mmu-mir-21b MI0021906	0	0	0	0	0	0	1	0	0	0	4	1	4	0	1
mmu-mir-142b MI0026028	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1
mmu-mir-101b MI0000649	2198	3257	2793	2302	1690	208	170	956	609	378	5493	1832	3618	3052	3584
mmu-mir-3544 MI0019179	0	3	1	0	1	2	3	0	2	0	2	0	0	6	5
mmu-mir-379 MI0000796	16136	12003	9509	7017	8394	9346	7465	16739	15782	13242	18645	13575	13857	12739	16290
mmu-mir-7073 MI0022923	1	1	1	0	0	4	2	4	1	2	1	1	1	0	0
mmu-mir-7035 MI0022884	0	1	0	1	0	0	0	0	0	1	0	0	0	0	0
mmu-mir-145b MI0021890	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
mmu-mir-7068 MI0022918	25	0	3	12	6	1	2	8	18	1	1	8	16	4	2
mmu-mir-199a-1 MI0000241	4379	7578	6172	6486	9041	424	486	2337	952	576	14528	3264	12283	9559	13048
mmu-mir-9769 MI0031121	0	3	1	0	2	0	0	0	0	0	0	2	0	2	1
mmu-mir-1929 MI0009918	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
mmu-mir-1191b MI0025021	7	3	6	6	3	1	2	3	2	0	9	4	5	10	5
mmu-mir-680-1 MI0004640	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
mmu-mir-670 MI0004295	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1
mmu-mir-7119 MI0022970	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
mmu-mir-3089 MI0014082	0	0	0	0	0	0	0	0	0	1	0	0	0	2	0
mmu-mir-1960 MI0009957	1	1	0	0	2	2	0	2	5	3	7	0	1	4	1
mmu-mir-12191 MI0040633	2	4	3	2	2	0	2	1	1	0	5	3	5	5	6
mmu-mir-451a MI0001730	464	306	161	308	596	36	72	205	62	50	518	146	198	189	401
mmu-mir-124-1 MI0000716	0	0	1	0	0	0	0	0	0	0	1	0	2	2	3
mmu-mir-7048 MI0022897	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
mmu-mir-135a-2 MI0000715	0	1	1	2	7	0	0	1	1	0	6	1	18	9	10
mmu-mir-7240 MI0023735	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
mmu-mir-5113 MI0018022	0	0	0	1	2	0	1	1	3	0	1	0	0	0	0
mmu-mir-185 MI0000227	1336	998	718	578	553	1023	800	1524	1067	1476	1438	1266	1105	1040	1312
mmu-mir-3110 MI0014107	0	0	2	1	0	0	0	0	0	0	3	0	1	1	2
mmu-mir-470 MI0002405	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0
mmu-mir-3109 MI0014106	1	0	0	2	3	0	0	0	0	0	0	0	1	0	0
