	LN	LN	LN	LN	LN	NL	NL	NL	NL	NL	NN	NN	NN	NN	NN
mmu-miR-152-5p MIMAT0016991	60	31	23	31	45	3	5	31	9	10	63	34	47	30	62
mmu-miR-145a-5p MIMAT0000157	1991	1595	1018	1013	2622	129	127	438	104	166	2114	982	2649	2348	2310
mmu-miR-190a-3p MIMAT0016998	0	0	0	2	2	0	0	0	0	0	1	0	0	0	1
mmu-miR-320-3p MIMAT0000666	242	213	152	124	115	248	312	257	212	249	320	197	224	270	300
mmu-miR-149-3p MIMAT0016990	1	0	0	0	0	0	0	0	0	4	0	0	0	0	0
mmu-miR-155-3p MIMAT0016993	0	0	0	1	0	0	0	0	0	0	1	0	1	0	3
mmu-miR-6962-3p MIMAT0027825	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
mmu-miR-7074-3p MIMAT0028055	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
mmu-miR-155-5p MIMAT0000165	31	34	18	31	23	8	16	20	9	12	43	28	40	33	103
mmu-miR-505-5p MIMAT0017259	0	0	0	0	0	2	1	0	1	0	0	0	1	0	2
mmu-miR-7043-5p MIMAT0027990	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
mmu-miR-3057-3p MIMAT0014823	0	0	0	0	0	0	0	1	0	0	1	1	0	0	1
mmu-miR-673-5p MIMAT0003739	44	46	42	23	18	115	172	171	183	212	96	38	58	52	62
mmu-miR-3474 MIMAT0015646	0	0	1	0	1	2	0	1	1	1	1	1	0	0	0
mmu-miR-378a-5p MIMAT0000742	593	865	722	670	947	115	79	333	87	93	1328	456	1126	1422	1072
mmu-miR-27b-3p MIMAT0000126	10629	10226	7475	6585	9249	938	1397	4295	1882	1677	13983	8434	14883	10530	16098
mmu-miR-188-3p MIMAT0004541	0	0	0	1	1	0	0	1	0	0	0	0	3	0	0
mmu-miR-701-5p MIMAT0003491	0	3	2	4	4	0	0	0	0	0	3	3	4	8	3
mmu-miR-101b-5p MIMAT0017046	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
mmu-miR-7219-5p MIMAT0028406	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
mmu-miR-361-5p MIMAT0000704	56	119	118	58	91	14	15	41	19	11	177	56	168	209	163
mmu-miR-496a-3p MIMAT0003738	16	29	11	16	17	0	1	3	1	3	36	3	28	27	31
mmu-miR-483-3p MIMAT0003120	1	0	0	1	0	4	0	2	0	1	0	0	0	0	0
mmu-miR-872-3p MIMAT0004935	14	13	19	20	23	2	1	2	1	2	27	6	28	23	30
mmu-miR-203b-3p MIMAT0049832	0	1	0	1	0	0	2	1	1	0	5	2	2	1	12
mmu-miR-7040-5p MIMAT0027984	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
mmu-miR-23b-3p MIMAT0000125	9	5	7	7	8	0	2	3	0	1	19	10	10	8	8
mmu-miR-331-3p MIMAT0000571	0	0	1	0	1	0	0	0	0	0	0	0	3	0	1
mmu-miR-193b-5p MIMAT0017271	3	1	1	1	1	4	6	8	0	3	4	3	2	3	4
mmu-miR-3109-5p MIMAT0014949	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0
mmu-miR-30d-3p MIMAT0017011	7	12	7	11	23	1	0	8	2	2	15	9	22	23	9
mmu-miR-542-5p MIMAT0003171	1	4	6	1	9	1	4	4	2	1	11	3	7	9	12
mmu-miR-409-3p MIMAT0001090	96	65	67	54	48	78	91	113	105	134	111	96	65	92	87
mmu-miR-337-3p MIMAT0000578	12	7	7	8	34	0	0	2	1	3	15	9	24	18	15
mmu-miR-3060-3p MIMAT0014827	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
mmu-miR-133b-5p MIMAT0017083	0	2	0	0	3	0	0	0	0	0	1	1	0	0	0
mmu-miR-93-3p MIMAT0004636	1	2	2	2	6	0	1	3	1	0	3	1	6	4	8
mmu-miR-412-3p MIMAT0001094	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0
mmu-miR-6516-5p MIMAT0027343	0	1	0	0	0	0	0	0	1	0	1	1	2	0	0
mmu-miR-7013-3p MIMAT0027931	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0
mmu-miR-676-3p MIMAT0003782	93	89	90	56	89	59	80	117	117	72	118	78	142	93	152
mmu-miR-7007-5p MIMAT0027918	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0
mmu-miR-3535 MIMAT0031410	80	50	43	15	35	27	25	48	85	86	53	43	26	20	69
mmu-miR-363-3p MIMAT0000708	1	2	0	5	3	0	0	1	1	0	1	2	0	2	4
mmu-miR-489-3p MIMAT0003112	1	5	4	1	1	0	0	1	1	0	8	1	3	1	6
mmu-miR-301a-5p MIMAT0017008	8	11	9	11	4	2	2	5	2	3	17	5	11	12	24
mmu-miR-325-5p MIMAT0000558	1	1	0	0	0	0	0	1	0	0	3	0	0	2	2
mmu-miR-369-5p MIMAT0003185	72	176	142	100	119	40	40	137	50	36	270	70	169	162	204
mmu-miR-499-5p MIMAT0003482	134	312	259	258	175	23	46	90	108	73	524	114	363	445	338
mmu-miR-411-5p MIMAT0004747	4985	8806	6143	5351	7475	1618	1378	7243	3449	3027	13695	5297	9943	9873	11162
mmu-miR-425-3p MIMAT0001342	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1
mmu-miR-1947-5p MIMAT0009413	1	2	0	0	1	3	3	2	0	1	0	3	1	0	3
mmu-miR-5121 MIMAT0020629	0	0	1	5	8	0	0	0	0	0	0	0	0	3	1
mmu-miR-1197-3p MIMAT0005858	2	14	16	19	17	0	2	2	0	1	26	5	21	36	23
mmu-miR-17-3p MIMAT0000650	5	19	4	7	14	0	3	2	1	1	16	1	13	16	27
mmu-miR-7225-3p MIMAT0028419	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
mmu-miR-27a-3p MIMAT0000537	1313	2937	2167	1954	2993	293	269	899	573	506	4664	1198	3040	3262	3182
mmu-miR-322-5p MIMAT0000548	1	3	2	0	1	0	0	0	0	0	2	0	1	0	1
mmu-miR-7012-3p MIMAT0027929	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
mmu-miR-328-3p MIMAT0000565	41	69	53	29	38	33	21	65	45	31	93	53	72	72	52
mmu-miR-1941-5p MIMAT0009405	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
mmu-miR-6540-5p MIMAT0025585	4	0	0	0	0	0	0	1	1	1	3	0	0	0	1
mmu-miR-216b-5p MIMAT0003729	0	1	2	0	1	0	0	0	0	1	0	0	0	3	1
mmu-miR-7a-1-3p MIMAT0004670	4	13	8	11	6	1	1	2	0	0	15	3	12	11	9
mmu-miR-139-3p MIMAT0004662	2	3	3	5	5	9	9	7	6	9	7	1	6	10	6
mmu-miR-200a-3p MIMAT0000519	3	0	4	2	4	0	0	1	2	0	2	0	0	0	13
mmu-miR-23a-5p MIMAT0017019	0	0	5	1	0	0	0	1	3	0	0	0	2	2	0
mmu-miR-369-3p MIMAT0003186	266	563	593	477	308	17	12	136	34	26	953	279	1056	1055	928
mmu-miR-98-3p MIMAT0017023	0	0	2	0	3	0	0	0	1	0	4	0	1	1	0
mmu-miR-3069-3p MIMAT0014845	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
mmu-miR-487b-5p MIMAT0017216	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1
mmu-miR-323-5p MIMAT0004638	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0
mmu-miR-370-5p MIMAT0017174	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
mmu-miR-1927 MIMAT0009390	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
mmu-miR-1188-5p MIMAT0005843	1	0	0	0	0	1	1	1	1	0	1	0	0	0	0
mmu-miR-712-5p MIMAT0003502	0	0	0	2	0	0	1	0	0	0	0	0	0	2	0
mmu-miR-322-3p MIMAT0000549	732	935	698	400	420	274	260	571	255	429	1009	600	880	783	897
mmu-miR-27b-5p MIMAT0004522	11	9	11	11	7	6	13	20	11	12	19	23	14	12	17
mmu-miR-125a-3p MIMAT0004528	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
mmu-miR-30e-3p MIMAT0000249	415	445	310	256	254	188	140	277	229	179	582	425	468	479	417
mmu-miR-26b-5p MIMAT0000534	864	1204	924	923	702	167	257	475	350	261	1746	749	1806	1430	1686
mmu-miR-541-3p MIMAT0017209	8	18	20	12	14	0	1	6	6	2	33	12	29	21	27
mmu-miR-6539 MIMAT0025584	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
mmu-miR-499-3p MIMAT0017254	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
mmu-miR-296-3p MIMAT0004576	8	13	4	4	3	5	9	15	17	12	18	9	13	11	16
mmu-miR-32-3p MIMAT0017050	1	0	0	0	0	0	0	0	0	1	0	1	1	0	3
mmu-miR-6989-3p MIMAT0027881	1	0	1	0	0	0	1	0	0	0	0	0	0	0	0
mmu-miR-1955-3p MIMAT0017348	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
mmu-miR-7046-3p MIMAT0027997	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
mmu-miR-379-5p MIMAT0000743	11824	9123	7114	5165	6350	7111	5734	12503	12263	10221	14433	10016	10113	9485	12373
mmu-miR-15a-3p MIMAT0004624	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
mmu-miR-466c-5p MIMAT0004877	2	1	3	1	0	0	3	0	0	0	3	0	2	1	9
mmu-miR-125a-5p MIMAT0000135	1184	1670	1369	1140	1483	513	630	1025	587	837	2226	898	2050	2146	2157
mmu-miR-7043-3p MIMAT0027991	1	1	1	1	0	2	0	5	2	0	3	4	0	1	3
mmu-miR-3099-3p MIMAT0014816	8	3	2	1	3	3	2	2	4	5	2	5	1	4	6
mmu-miR-7237-3p MIMAT0028443	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0
mmu-miR-30d-5p MIMAT0000515	485	304	206	209	205	208	161	399	253	290	406	423	291	272	314
mmu-miR-378b MIMAT0019348	18	19	13	10	2	1	3	11	1	3	33	11	16	18	6
mmu-miR-423-3p MIMAT0003454	454	412	372	240	305	282	290	429	288	346	589	381	509	415	478
mmu-miR-181b-2-3p MIMAT0017084	0	1	2	0	0	0	0	1	0	0	3	0	5	0	2
mmu-miR-744-5p MIMAT0004187	790	669	586	442	472	1042	1218	1172	1090	1334	918	665	767	852	762
mmu-miR-487b-3p MIMAT0003184	69	189	111	86	125	13	19	62	29	22	211	76	197	174	225
mmu-miR-7b-5p MIMAT0000678	1	0	1	0	1	0	0	0	0	1	0	0	2	1	0
mmu-miR-30e-5p MIMAT0000248	66	112	114	68	88	4	2	20	9	11	173	55	111	129	119
mmu-miR-1968-5p MIMAT0009441	2	2	0	0	2	1	1	2	1	0	4	5	0	5	2
mmu-miR-7037-5p MIMAT0027978	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0
mmu-miR-16-1-3p MIMAT0004625	6	1	8	7	21	0	1	3	4	2	7	2	9	8	8
mmu-miR-6952-3p MIMAT0027805	0	0	0	0	0	2	0	0	0	0	0	0	0	0	1
mmu-miR-7231-5p MIMAT0028430	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
mmu-miR-148b-5p MIMAT0017036	13	22	14	13	23	0	0	6	5	2	27	2	19	13	28
mmu-miR-676-5p MIMAT0003781	71	67	45	30	51	46	21	116	53	51	95	45	67	79	77
mmu-miR-18a-3p MIMAT0004626	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
mmu-miR-6516-3p MIMAT0027344	0	0	0	0	2	0	0	0	0	0	1	0	0	0	0
mmu-miR-873a-3p MIMAT0017279	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
mmu-miR-7092-5p MIMAT0028090	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0
mmu-miR-342-3p MIMAT0000590	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
mmu-miR-7027-3p MIMAT0027959	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
mmu-miR-669f-3p MIMAT0005839	0	0	0	0	0	0	0	0	0	0	1	0	1	0	4
mmu-miR-467b-5p MIMAT0005448	1	3	2	0	3	0	0	0	1	0	1	1	1	5	8
mmu-miR-543-5p MIMAT0017207	0	0	0	0	0	0	0	1	1	2	0	0	3	0	0
mmu-miR-7063-5p MIMAT0028030	0	0	0	0	0	2	0	0	0	0	1	0	1	0	0
mmu-miR-302b-3p MIMAT0003374	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
mmu-miR-183-5p MIMAT0000212	11	5	2	6	14	13	19	15	30	20	13	5	24	9	46
